"Timestamp","If your Amazon Mechanical Turk Worker ID does not appear below, please fill it in.","The name of the college/university you were given for this HIT appears below.","In normal (non-pandemic) times, most colleges/universities had a usual grading method, that is, a grading method that automatically applied to most students. We will refer to this as the ""usual pre-pandemic"" grading method. At the college/university you were assigned, what was the usual pre-pandemic grading method? (If you can't find it this information, it may be helpful to look at the website of the registrar of the college/university.)","You just answered a question about the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Were students at the college/university you were assigned given more choice than usual for how to be graded for the spring academic term, where this choice was specifically offered because of the unusual circumstances of the COVID pandemic?","You just answered that students were given more choice than usual due to the COVID pandemic. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that despite the COVID pandemic, students were not given more choice than usual. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","We are interested in knowing how a student would be graded if they took no action, that is, if they did not actively indicate a choice. We refer to this as the ""pandemic default"" grading method. Was the pandemic default grading method different from or the same as the usual pre-pandemic method that you indicated earlier?","You just answered that the pandemic default grading method was different from the usual pre-pandemic method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that the pandemic default grading method was the same as the usual pre-pandemic method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Please choose the option below that best describes the pandemic default grading method.","You just answered a question about the pandemic default grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Now we would like to know the alternative choice to the pandemic default method. That is, we would like to know what grading method students could choose to opt in to if they decided they did not want the pandemic default method. We refer to this non-default choice as the ""pandemic opt-in"" grading method. Please choose the option below that best describes the pandemic opt-in grading method.","You just answered a question about the pandemic opt-in grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Could students apply the pandemic default and pandemic opt-in grading methods on a per-course basis, that is, could they apply different grading methods to different courses? An example of applying different grading methods to different courses would be, say, that the student could apply the pandemic default grading method to Physics 201 and the pandemic opt-in grading method to History 311. So, could students apply the pandemic default and pandemic opt-in grading methods on a per-course basis?","You just answered a question about whether the pandemic default and pandemic opt-in grading methods could be applied on a per-course basis. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","If students wanted to choose the pandemic opt-in grading method for any course, when were they required to indicate this choice?","You just answered a question about the deadline for a student choosing the pandemic opt-in grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Given that students did not have more choice than usual in how to be graded during the spring 2020 term, we want to know the how the college/university chose to grade students during the spring semester. We refer to this as the ""pandemic"" grading method. Was the pandemic grading method different from or the same as the usual pre-pandemic method that you indicated earlier?","You just answered that the pandemic grading method was the same as the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that the pandemic grading method was different from the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Please choose the option below that best describes the pandemic grading method.","You just answered a question about what the pandemic grading method was. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Which of the following is the most accurate description of the pandemic grading method?","You just answered a question about the amount of instructor choice in the pandemic grading method. How confident are you in your response? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident"
"2020/08/22 5:11:09 PM AST","A2R5TVQYSZE74K","Salem State University","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was different from the usual pre-pandemic method","3","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","3","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:11:18 PM AST","A3QA15UT5YY25Y","University of Pikeville","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","3","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","3","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:11:25 PM AST","A1CHC8M7CWC254","Dordt University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:11:28 PM AST","AMYURTQIMAC8T","Franklin College","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","2","","Cannot determine","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","2","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","Cannot determine","3","","","","","","",""
"2020/08/22 5:12:08 PM AST","APKTDTD9LK539","University of Colorado Boulder","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:12:18 PM AST","A3QUAM5Y482D4U","Rutgers University-New Brunswick","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:12:21 PM AST","A2PLJREKV92BZN","Waynesburg University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","2","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:12:48 PM AST","A2M7RO9U5CJX9G","University of North Alabama","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Cannot determine","2","Cannot determine","2","Cannot determine","2","","","","","","",""
"2020/08/22 5:12:52 PM AST","A18T7E73TNGOKP","University of Illinois at Chicago","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","2","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","2","","","","",""
"2020/08/22 5:12:58 PM AST","A37XBH865833FE","Thiel College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","2","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:13:08 PM AST","A2R5TVQYSZE74K","Salem State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","4","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:13:38 PM AST","A2WWYVKGZZXBOB","MacMurray College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","Cannot determine","","","Cannot determine","2","Cannot determine","1"
"2020/08/22 5:13:46 PM AST","A3DU7K7HAS3VUF","Biola University","Cannot determine","1","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:13:54 PM AST","A39O3O4F2CUIKA","Whitworth University-Adult Degree Programs","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","Cannot determine","","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","2","Cannot determine","2"
"2020/08/22 5:14:11 PM AST","AGKL1HOKIR138","Tufts University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","3","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:14:35 PM AST","A18T7E73TNGOKP","Worcester State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","2","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","2","","","","",""
"2020/08/22 5:14:42 PM AST","A23G1L7KYHK9F2","University of Alaska Anchorage","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","By April 27th.","4","","","","","","",""
"2020/08/22 5:14:49 PM AST","AE2MQ0H6NNRUH","Roger Williams University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","They have until June 1, not sure if they saw their grades","3","","","","","","",""
"2020/08/22 5:15:01 PM AST","A13CAAOJ5GP4UQ","Illinois College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","2","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","No: the student was required to make a single choice (pandemic default or pandemic opt-in) which was applied to all courses","4","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:15:23 PM AST","A13WTEQ06V3B6D","Morehouse College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:16:01 PM AST","A1NRU6IWDB54SF","North Carolina State University at Raleigh","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:16:27 PM AST","AKR9067Q09RZS","Mercyhurst University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:16:34 PM AST","A3U2VUZ2L7HIWG","Illinois College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","2","Before they saw what their grade would be under the pandemic default method","2","","","","","","",""
"2020/08/22 5:16:35 PM AST","ALK9XZBTNDAUH","Mercyhurst University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","3","","","","","","",""
"2020/08/22 5:16:38 PM AST","A15T9HDPHV3X7Q","East Texas Baptist University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:16:41 PM AST","AQKC1VIZAZ6VI","Rutgers University-Newark","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:17:03 PM AST","A1L32YIF4HX5BQ","Kent State University at Kent","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","They had to indicate before a specific day. ","3","","","","","","",""
"2020/08/22 5:17:08 PM AST","A18T7E73TNGOKP","Colby-Sawyer College","Cannot determine","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","Cannot determine","","","Cannot determine","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No: the student was required to make a single choice (pandemic default or pandemic opt-in) which was applied to all courses","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:17:21 PM AST","A2V4DP31BEVABF","Rutgers University-Newark","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:17:31 PM AST","A3BBR5O4W6XHBV","University of Indianapolis","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","3","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
